session,timestamp,n_points,dtheta_deg,r_bar_m,alpha,clusters_baseline,clusters_kernel,noise_baseline,noise_kernel,silhouette_baseline,silhouette_kernel,db_baseline,db_kernel
2025.01.01_MedRoom_Empty_01.csv,1767275682.7533336,259,1.203125,1.479,0.685027622813764,8,8,1.9305019305019304,0.7722007722007722,0.5572203594026545,0.5423822956460113,0.4362531092713944,0.4407130376612972
2025.01.01_MedRoom_Empty_01.csv,1767275682.9044034,257,1.203125,1.4725,0.6850899495546953,9,8,1.1673151750972763,0.38910505836575876,0.5185382334931639,0.5464246659723206,0.42821859412282204,0.4389806332375419
2025.01.01_MedRoom_Empty_01.csv,1767275683.0553908,259,1.203125,1.486,0.6849602216876475,9,7,1.9305019305019304,1.1583011583011582,0.5074344067607783,0.5412637493971384,0.43440432687529873,0.4499526783326209
2025.01.01_MedRoom_Empty_01.csv,1767275683.20865,257,1.203125,1.47925,0.6850252206374092,9,8,0.38910505836575876,0.38910505836575876,0.5100368872037389,0.541750767410737,0.4315156274685209,0.4407371483499086
2025.01.01_MedRoom_Empty_01.csv,1767275683.3593414,260,1.203125,1.47725,0.6850444276810324,8,7,0.7692307692307693,0.38461538461538464,0.5200122106766082,0.5399104960307671,0.4472829420513209,0.4503780280901675
2025.01.01_MedRoom_Empty_01.csv,1767275683.5140553,260,1.203125,1.4815,0.6850035843752825,9,7,1.5384615384615385,0.7692307692307693,0.5147129331118856,0.5489742276717869,0.4327021923556857,0.4470653817703914
2025.01.01_MedRoom_Empty_01.csv,1767275683.666874,260,1.203125,1.4825,0.6849939586180258,9,8,1.1538461538461537,0.38461538461538464,0.5095935113208986,0.4749601202267786,0.4351663619763365,0.44722907103147924
2025.01.01_MedRoom_Empty_01.csv,1767275683.818266,259,1.203125,1.4705,0.6851090767862467,9,7,2.3166023166023164,1.1583011583011582,0.514708472309192,0.5521529175579771,0.43120459914446657,0.44794641910072996
2025.01.01_MedRoom_Empty_01.csv,1767275683.9722128,260,1.203125,1.481625,0.685002381480219,9,8,1.1538461538461537,0.38461538461538464,0.505483068748731,0.5260171551006103,0.4326046534497276,0.444161973150495
2025.01.01_MedRoom_Empty_01.csv,1767275684.123113,258,1.203125,1.475875,0.6850576187857923,8,8,1.550387596899225,0.3875968992248062,0.5535274039080809,0.5343318211524236,0.4365442355399465,0.44172525986059286
